"Room";"Room Capacity";"Building";"Comments"
"P-A-001";30000;"";""
"P-A-002";30000;"";""
"P-A-003";30000;"";""
"P-A-004";30000;"";""
"P-A-005";30000;"";""
"P-A-006";30000;"";""
"P-A-007";30000;"";""
"P-A-101";30000;"";""
"P-A-102";30000;"";""
"P-A-103";30000;"";""
"P-A-104";30000;"";""
"P-A-105";30000;"";""
"P-A-106";30000;"";""
"P-A-107";30000;"";""
"P-A-108";30000;"";""
"P-A-109";30000;"";""
"P-A-110";30000;"";""
"P-A-111";30000;"";""
"P-A-112";30000;"";""
"P-A-008";30000;"";""
"P-A-009";30000;"";""
"P-A-010";30000;"";""
"P-A-113";30000;"";""
"P-A-114";30000;"";""
"P-A-115";30000;"";""
