"Year";"Number of Students per Year";"Group";"Number of Students per Group";"Subgroup";"Number of Students per Subgroup";"Comments"
"2A31101110";0;;;;;""
"2A31101110";0;"1APIC-11";0;;;""
"2A31101110";0;"1APIC-2";0;;;""
"2A31101110";0;"1APIC-15";0;;;""
"2A31101110";0;"1APIC-9";0;;;""
"2A31101110";0;"1APIC-6";0;;;""
"2A31101110";0;"1APIC-14";0;;;""
"2A31101110";0;"1APIC-1";0;;;""
"2A31101110";0;"1APIC-8";0;;;""
"2A31101110";0;"1APIC-10";0;;;""
"2A31101110";0;"1APIC-13";0;;;""
"2A31101110";0;"1APIC-5";0;;;""
"2A31101110";0;"1APIC-12";0;;;""
"2A31101110";0;"1APIC-3";0;;;""
"2A31101110";0;"1APIC-7";0;;;""
"2A31101110";0;"1APIC-4";0;;;""
"2A32101110";0;;;;;""
"2A32101110";0;"2APIC-6";0;;;""
"2A32101110";0;"2APIC-6";0;"2APIC-6:G1";0;""
"2A32101110";0;"2APIC-6";0;"2APIC-6:G2";0;""
"2A32101110";0;"2APIC-3";0;;;""
"2A32101110";0;"2APIC-3";0;"2APIC-3:G1";0;""
"2A32101110";0;"2APIC-3";0;"2APIC-3:G2";0;""
"2A32101110";0;"2APIC-10";0;;;""
"2A32101110";0;"2APIC-10";0;"2APIC-10:G1";0;""
"2A32101110";0;"2APIC-10";0;"2APIC-10:G2";0;""
"2A32101110";0;"2APIC-9";0;;;""
"2A32101110";0;"2APIC-9";0;"2APIC-9:G1";0;""
"2A32101110";0;"2APIC-9";0;"2APIC-9:G2";0;""
"2A32101110";0;"2APIC-1";0;;;""
"2A32101110";0;"2APIC-1";0;"2APIC-1:G1";0;""
"2A32101110";0;"2APIC-1";0;"2APIC-1:G2";0;""
"2A32101110";0;"2APIC-7";0;;;""
"2A32101110";0;"2APIC-7";0;"2APIC-7:G1";0;""
"2A32101110";0;"2APIC-7";0;"2APIC-7:G2";0;""
"2A32101110";0;"2APIC-4";0;;;""
"2A32101110";0;"2APIC-4";0;"2APIC-4:G1";0;""
"2A32101110";0;"2APIC-4";0;"2APIC-4:G2";0;""
"2A32101110";0;"2APIC-5";0;;;""
"2A32101110";0;"2APIC-5";0;"2APIC-5:G1";0;""
"2A32101110";0;"2APIC-5";0;"2APIC-5:G2";0;""
"2A32101110";0;"2APIC-8";0;;;""
"2A32101110";0;"2APIC-8";0;"2APIC-8:G1";0;""
"2A32101110";0;"2APIC-8";0;"2APIC-8:G2";0;""
"2A32101110";0;"2APIC-2";0;;;""
"2A32101110";0;"2APIC-2";0;"2APIC-2:G1";0;""
"2A32101110";0;"2APIC-2";0;"2APIC-2:G2";0;""
"2A33101110";0;;;;;""
"2A33101110";0;"3APIC-4";0;;;""
"2A33101110";0;"3APIC-4";0;"3APIC-4:G1";0;""
"2A33101110";0;"3APIC-4";0;"3APIC-4:G2";0;""
"2A33101110";0;"3APIC-1";0;;;""
"2A33101110";0;"3APIC-1";0;"3APIC-1:G1";0;""
"2A33101110";0;"3APIC-1";0;"3APIC-1:G2";0;""
"2A33101110";0;"3APIC-6";0;;;""
"2A33101110";0;"3APIC-6";0;"3APIC-6:G1";0;""
"2A33101110";0;"3APIC-6";0;"3APIC-6:G2";0;""
"2A33101110";0;"3APIC-3";0;;;""
"2A33101110";0;"3APIC-3";0;"3APIC-3:G1";0;""
"2A33101110";0;"3APIC-3";0;"3APIC-3:G2";0;""
"2A33101110";0;"3APIC-2";0;;;""
"2A33101110";0;"3APIC-2";0;"3APIC-2:G1";0;""
"2A33101110";0;"3APIC-2";0;"3APIC-2:G2";0;""
"2A33101110";0;"3APIC-5";0;;;""
"2A33101110";0;"3APIC-5";0;"3APIC-5:G1";0;""
"2A33101110";0;"3APIC-5";0;"3APIC-5:G2";0;""
"2A33101110";0;"3APIC-9";0;;;""
"2A33101110";0;"3APIC-9";0;"3APIC-9:G1";0;""
"2A33101110";0;"3APIC-9";0;"3APIC-9:G2";0;""
"2A33101110";0;"3APIC-7";0;;;""
"2A33101110";0;"3APIC-7";0;"3APIC-7:G1";0;""
"2A33101110";0;"3APIC-7";0;"3APIC-7:G2";0;""
"2A33101110";0;"3APIC-8";0;;;""
"2A33101110";0;"3APIC-8";0;"3APIC-8:G1";0;""
"2A33101110";0;"3APIC-8";0;"3APIC-8:G2";0;""
